Plant,Variety,Sub-Variety,Sub-Sub-Variety,# ,,Notes for seed group,Give Away Month,Planting Group,Gardener Level,Botanical Name,Open Pollenated,Light ,Start Indoors,Outdoors,Days to Maturity,Container Friendly,Support,Height,Spread,Type (in our zone)
Amaranth,Hopi Red Dye,,,1,,,April,Spring,,Amaranthus cruentus,Yes,Full Sun,4-6 wk before last frost,after last frost,60-75,,Yes,4' - 6',,Annual
Amaranth,Love Lies Bleeding,,,14,,,April,Spring,,Amaranthus caudatus,Yes,Full Sun,8 wk before last frost,After last frost,,,,2' - 8',1'-3',Annual
Artichoke,Cardoon,,,2,,,April,Spring,Level 2,Cynara cardunculus,Yes,Full Sun,January,2 weeks after last frost (direct sow not recommended),60-80,,,4' - 5',4',Annual
Artichoke,Tavor,,,1,,,April,Spring,Level 2,Cynara scolymus,Yes,Full Sun,8-10 wk before planting,After last frost,90,,,3' - 4',2.5'-3',Annual
Asparagus,Mary Washington,,,1,,,April,Spring,Level 2b,Asparagus officinalis,Yes,Full Sun,8-12 wk before outdoors,"After last frost, soil over 60",730,,,3' - 4',1'-2',Perennial
Beans,Bush,Shelling,Appaloosa,1,,have these as a bush/shelling bean,April,Spring,Level 1,Phaseolus vulgaris,Yes,Full Sun,2-3 weeks before transplant,"1-2 weeks after last frost, soil at 60",85-110,,,"18"" - 2'",,Annual
Beans,Pole?,Baby Borlotti?,,1,,"Can't find ""baby"" variety, is this the dwarf bean? and not the vine?",April,Spring,Level 2,Phaseolus vulgaris,Yes,Full Sun,2-3 weeks before transplant,"1-2 weeks after last frost, soil at 60",60-80,,Yes,20',,Annual
Beans,Bush,Shelling,Black & White Calypso,1,,Have these as bush/shelling bean,April,Spring / Fall,Level 1,Phaseolus vulgaris,Yes,Full Sun,2-3 weeks before transplant,"1-2 weeks after last frost, soil at 60 / In fall once soil is < 80",70-90,,No,"20"" - 2'",,Annual
Beans,Broad,Shelling,Windsor,1,,shelling / dried,Feb/March,Spring / Fall,Level 1,Vicia faba,Yes,Full Sun,Not reccomended,As soon as soil can be worked,75-85,,,,,Annual
Beans,Bush,Snap,Blue Lake 274,1,,snap,April,Spring,Level 1,Phaseolus vulgaris,Yes,Full Sun,Not reccomended,"1-2 weeks after last frost, soil at 60",50-60,,No,1' - 2',,Annual
Beans,Bush,Snap,Bountiful,1,,snap,April,Spring,Level 1,Phaseolus vulgaris,Yes,Full Sun,Not reccomended,"1-2 weeks after last frost, soil at 60",45-50,,No,,,Annual
Beans,Bush,Snap,Brittle Wax,2,,Brittle? not Britte? Snap,April,Spring,Level 1,Phaseolus vulgaris,Yes,Full Sun,Not reccomended,"1-2 weeks after last frost, soil at 60",55-60,,No,"14"" - 16""",,Annual
Beans,Bush,Shelling ,Coco Noir Starazogorski,1,,Shelling / dry,April,Spring,Level 1,Phaseolus vulgaris,Yes,Full Sun,Not reccomended,"1-2 weeks after last frost, soil at 60",75-85,,No,"18""",,Annual
Beans,Bush,Snap,Golden Wax,4,,Snap / Shelling / Dried,April,Spring,Level 1,Phaseolus vulgaris,Yes,Full Sun,Not reccomended,"1-2 weeks after last frost, soil at 60",45-60,,No,"16"" -18""","12""-18""",Annual
Beans,Bush,Snap,Greencrop,2,,Snap,April,Spring,Level 1,Phaseolus vulgaris,Yes,Full Sun,Not reccomended,"1-2 weeks after last frost, soil at 60",50,,No,,,Annual
Beans,Bush,Snap,Maxibel Haricot Vert,2,,Snap,April,Spring,Level 1,Phaseolus vulgaris,Yes,Full Sun,Not reccomended,"1-2 weeks after last frost, soil at 60",65,,No,"22 ""- 26""",,Annual
Beans,Bush,Snap,Royal Burgundy,3,,Snap,April,Spring,Level 1,Phaseolus vulgaris,Yes,Full Sun,Not reccomended,"1-2 weeks after last frost, soil at 60",55,,No,"15""-20""",,Annual
Beans,Bush,Snap,Stringless Green Pod,23,,Snap,April,Spring,Level 1,Phaseolus vulgaris,Yes,Full Sun,Not reccomended,"1-2 weeks after last frost, soil at 60",50,,No,,,Annual
Beans,Butterscotch,,,1,,,,,,,,,,,,,,,,
Beans,Contender,,,1,,,,,,,,,,,,,,,,
Beans,Cowpea,Michels,,1,,,,,,,,,,,,,,,,
Beans,Daple Grey,,,1,,,,,,,,,,,,,,,,
Beans,Eye of the Goat,,,1,,,,,,,,,,,,,,,,
Beans,Improved Tendergreen,,,30,,,,,,,,,,,,,,,,
Beans,Lima,Henderson Bush,,7,,,,,,,,,,,,,,,,
Beans,Lima,Sieva,,1,,,,,,,,,,,,,,,,
Beans,Mayflower,,,1,,,,,,,,,,,,,,,,
Beans,Pinto,Quincy,,1,,,,,,,,,,,,,,,,
Beans,Pole,Caminat,,1,(xtra-large seed pack),,,,,,,,,,,,,,,
Beans,Pole,Kentucky Wonder,,19,,,,,,,,,,,,,,,,
Beans,Pole,Monte Cristo,,1,,,,,,,,,,,,,,,,
Beans,Pole,Old Homestead,,7,,,,,,,,,,,,,,,,
Beans,Red & White Calypso,,,1,,,,,,,,,,,,,,,,
Beans,Runner,Scarlet Emperor,,3,,,,,,,,,,,,,,,,
Beans,Runner,Scarlet Runner,,1,,,,,,,,,,,,,,,,
Beans,Soy,Agate,,1,,,,,,,,,,,,,,,,
Beans,Soy,Fiskeby,,1,,,,,,,,,,,,,,,,
Beans,Turkey Craw,,,1,,,,,,,,,,,,,,,,
Beans,Yellow Indian Woman,,,1,,,,,,,,,,,,,,,,
Beets,5 Color Silver,,,5,,,,,,,,,,,,,,,,
Beets,Chioggia,,,1,,,,,,,,,,,,,,,,
Beets,Detroit Dark Red,,,19,,,,,,,,,,,,,,,,
Beets,Detroit Golden,,,7,,,,,,,,,,,,,,,,
Beets,Early Wonder,,,3,,,,,,,,,,,,,,,,
Beets,Falcon,,,1,,,,,,,,,,,,,,,,
Beets,Pablo,,,2,,,,,,,,,,,,,,,,
Beets,Red Ace,,,5,,,,,,,,,,,,,,,,
Beets,Spring Color,,,1,,,,,,,,,,,,,,,,
Broccoli,De Cicco,,,5,,,,,,,,,,,,,,,,
Broccoli,Fiesta,,,3,,,,,,,,,,,,,,,,
Broccoli,Green Magic,,,1,,,,,,,,,,,,,,,,
Broccoli,Italian Green,,,38,,,,,,,,,,,,,,,,
Broccoli,Raab,,,22,,,,,,,,,,,,,,,,
Broccoli,Romanesco,,,3,,,,,,,,,,,,,,,,
Broccoli,Waltham,,,9,,,,,,,,,,,,,,,,
Brussels Sprouts,Autumn Star,,,2,,,,,,,,,,,,,,,,
Brussels Sprouts,Dagan,,,2,,,,,,,,,,,,,,,,
Brussels Sprouts,Long Island,,,33,,,,,,,,,,,,,,,,
Cantaloupe,Delicious,,,1,,,,,,,,,,,,,,,,
Cantaloupe,Delicious 51 (Muskmelon),,,9,,,,,,,,,,,,,,,,
Cantaloupe,Ediato,,,1,,,,,,,,,,,,,,,,
Cantaloupe,Hale's Best,,,4,,,,,,,,,,,,,,,,
Carrot,Danvers,,,24,,,,,,,,,,,,,,,,
Carrot,Danvers Half Long,,,39,,,,,,,,,,,,,,,,
Carrot,Little Finger,,,17,,,,,,,,,,,,,,,,
Carrot,Musico,,,2,,,,,,,,,,,,,,,,
Carrot,Napa,,,2,,,,,,,,,,,,,,,,
Carrot,Nutri Red,,,2,,,,,,,,,,,,,,,,
Carrot,Paris Market,,,1,,,,,,,,,,,,,,,,
Carrot,Purplesnax,,,2,,,,,,,,,,,,,,,,
Carrot,Scarlet Nantes,,,49,,,,,,,,,,,,,,,,
Cat Drugs,Catgrass,,,13,,,,,,,,,,,,,,,,
Cat Drugs,Catnip,,,55,,,,,,,,,,,,,,,,
Cauliflower,Multi-color,,,1,,,,,,,,,,,,,,,,
Cauliflower,Purple of Sicily,,,2,,,,,,,,,,,,,,,,
Cauliflower,Self-blanche,,,1,,,,,,,,,,,,,,,,
Cauliflower,Snowball,,,42,,,,,,,,,,,,,,,,
Cauliflower,Veronica,,,3,,,,,,,,,,,,,,,,
Cauliflower,White,,,1,,,,,,,,,,,,,,,,
Celeriac,Monstorpolgi,,,1,,,,,,,,,,,,,,,,
Celery,Brilliant,,,2,,,,,,,,,,,,,,,,
Celery,Summer,,,2,,,,,,,,,,,,,,,,
Celery,Tall Utah,,,1,,,,,,,,,,,,,,,,
Corn,American Dream,,,1,,,,,,,,,,,,,,,,
Corn,Bear Paw,,,1,,,,,,,,,,,,,,,,
Corn,Black Aztec,,,1,,,,,,,,,,,,,,,,
Corn,Butter & Sugar,,,6,,,,,,,,,,,,,,,,
Corn,Delectable,,,1,,,,,,,,,,,,,,,,
Corn,Early Sunglow,,,1,,,,,,,,,,,,,,,,
Corn,Golden Bantam,,,1,,,,,,,,,,,,,,,,
Corn,Golden Cross Bantam,,,9,,,,,,,,,,,,,,,,
Corn,Golden Jubilee,,,1,,,,,,,,,,,,,,,,
Corn,Japonica Striped Maize,,,1,,,,,,,,,,,,,,,,
Corn,Kandy King,,,1,,,,,,,,,,,,,,,,
Corn,Reid's Yellow Dent,,,7,,,,,,,,,,,,,,,,
Corn,Silver Queen,,,1,,,,,,,,,,,,,,,,
Corn,Silvermine,,,4,,,,,,,,,,,,,,,,
Corn,Trucker's Favorite Yellow,,,5,,,,,,,,,,,,,,,,
Cucumber,Alibi,,,2,,,,,,,,,,,,,,,,
Cucumber,Armenian,,,1,,,,,,,,,,,,,,,,
Cucumber,Boston Pickling,,,3,,,,,,,,,,,,,,,,
Cucumber,Bush Pickle,,,61,,,,,,,,,,,,,,,,
Cucumber,Early Spring Burpless,,,32,,,,,,,,,,,,,,,,
Cucumber,Japanese Long Dragon,,,51,,,,,,,,,,,,,,,,
Cucumber,Marketmore,,,38,,,,,,,,,,,,,,,,
Cucumber,Muncher,,,2,,,,,,,,,,,,,,,,
Cucumber,Spacemaster 80,,,56,,,,,,,,,,,,,,,,
